,Product name,Rating,Summary,Review,sentiment_score,sentiment
0,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing..READ MORE",0.9616,Positive
2,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Very Good,Nice UI and FastREAD MORE,0.4215,Positive
3,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phoneREAD MORE",0.9062,Positive
4,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.READ MORE",0.9359,Positive
5,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,The best camera best design !!1st iphone 14 !!i tried all  conditions light photo the quality is best i was impressed with device battery backup is good perform is very impressive 🔥READ MORE,0.9726,Positive
6,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Nice product,Unboxing overall good experience 😊READ MORE,0.4404,Positive
7,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,Nice camera but battery drain fast specially on video recordingREAD MORE,0.2263,Positive
8,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Good quality product,Awesome 👍READ MORE,0.6249,Positive
9,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Just amazing!READ MORE,0.0,Neutral
10,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Just awesome....❤️🙌😌Display Camera Battery Processor....JUST WOW....✨💗☺️READ MORE,0.0,Neutral
